method,n_clusters_requested,n_clusters_found,random_state,fit_time_ms,int_silhouette,int_calinski_harabasz,int_davies_bouldin,int_dunn,int_wcss,int_bcss,ext_ari,ext_nmi,ext_fmi,ext_homogeneity,ext_completeness,ext_v_measure,dataset,k,true_k,seed
kmeans,2,2,42,44.48600899922894,0.5787825172771479,475.6158758549172,0.5172276178142915,0.6129711369333678,511.49535699868704,488.5046430013134,0.2091917591125198,0.47435098761403266,0.540402996133523,0.31091750708257165,1.0000000000000018,0.4743509876140327,blobs,2,5,42
isodata,2,4,42,2.6563360006548464,0.7353461757659788,3044.5220657753894,0.3351214167051285,0.7178471346588922,51.508031601436414,948.4919683985639,0.7812362998684788,0.9057460992755196,0.8439373293244814,0.8277293767706432,1.0000000000000004,0.9057460992755196,blobs,2,5,42
minibatch_kmeans,2,2,42,6.221276998985559,0.5787825172771479,475.6158758549172,0.5172276178142915,0.6129711369333678,511.49535699868704,488.5046430013134,0.2091917591125198,0.47435098761403266,0.540402996133523,0.31091750708257165,1.0000000000000018,0.4743509876140327,blobs,2,5,42
bisecting_kmeans,2,2,42,4.05973300075857,0.510649319361725,431.5036553372978,1.0238556572895687,0.5634126781172112,535.7698134272384,464.2301865727619,0.3731155778894472,0.5897275217561572,0.6182551109690742,0.418165660079052,1.0000000000000007,0.5897275217561572,blobs,2,5,42
gmm,2,2,42,39.99791299975186,0.510649319361725,431.5036553372978,1.0238556572895687,0.5634126781172112,535.7698134272384,464.2301865727619,0.3731155778894472,0.5897275217561572,0.6182551109690742,0.418165660079052,1.0000000000000007,0.5897275217561572,blobs,2,5,42
adaptive,2,2,42,15.013428999736789,0.5787825172771479,475.6158758549172,0.5172276178142915,0.6129711369333678,511.49535699868704,488.5046430013134,0.2091917591125198,0.47435098761403266,0.540402996133523,0.31091750708257165,1.0000000000000018,0.4743509876140327,blobs,2,5,42
kmeans,2,2,7,13.495177001459524,0.5787825172771479,475.6158758549172,0.5172276178142915,0.6129711369333678,511.49535699868704,488.5046430013134,0.2091917591125198,0.47435098761403266,0.540402996133523,0.31091750708257165,1.0000000000000018,0.4743509876140327,blobs,2,5,7
isodata,2,3,7,2.896347999922,0.7072907134227534,1715.3893633982004,0.45076206934908797,0.8886950775490883,126.53462289240676,873.4653771075934,0.6134779240898528,0.7918756684685222,0.7436885273407975,0.6554587535412861,1.0000000000000004,0.7918756684685222,blobs,2,5,7
minibatch_kmeans,2,2,7,7.982798000739422,0.5787825172771479,475.6158758549172,0.5172276178142915,0.6129711369333678,511.49535699868704,488.5046430013134,0.2091917591125198,0.47435098761403266,0.540402996133523,0.31091750708257165,1.0000000000000018,0.4743509876140327,blobs,2,5,7
bisecting_kmeans,2,2,7,2.024174000325729,0.5787825172771479,475.6158758549172,0.5172276178142915,0.6129711369333678,511.49535699868704,488.5046430013134,0.2091917591125198,0.47435098761403266,0.540402996133523,0.31091750708257165,1.0000000000000018,0.4743509876140327,blobs,2,5,7
gmm,2,2,7,21.005163000154425,0.510649319361725,431.5036553372978,1.0238556572895687,0.5634126781172112,535.7698134272384,464.2301865727619,0.3731155778894472,0.5897275217561572,0.6182551109690742,0.418165660079052,1.0000000000000007,0.5897275217561572,blobs,2,5,7
adaptive,2,2,7,12.730020000162767,0.5787825172771479,475.6158758549172,0.5172276178142915,0.6129711369333678,511.49535699868704,488.5046430013134,0.2091917591125198,0.47435098761403266,0.540402996133523,0.31091750708257165,1.0000000000000018,0.4743509876140327,blobs,2,5,7
kmeans,2,2,13,5.887894998522825,0.5787825172771479,475.6158758549172,0.5172276178142915,0.6129711369333678,511.49535699868704,488.5046430013134,0.2091917591125198,0.47435098761403266,0.540402996133523,0.31091750708257165,1.0000000000000018,0.4743509876140327,blobs,2,5,13
isodata,2,3,13,6.9161600004008505,0.7072907134227534,1715.3893633982004,0.45076206934908797,0.8886950775490883,126.53462289240676,873.4653771075934,0.6134779240898528,0.7918756684685222,0.7436885273407975,0.6554587535412861,1.0000000000000004,0.7918756684685222,blobs,2,5,13
minibatch_kmeans,2,2,13,9.265830998629099,0.5787825172771479,475.6158758549172,0.5172276178142915,0.6129711369333678,511.49535699868704,488.5046430013134,0.2091917591125198,0.47435098761403266,0.540402996133523,0.31091750708257165,1.0000000000000018,0.4743509876140327,blobs,2,5,13
bisecting_kmeans,2,2,13,3.3720290011842735,0.5787825172771479,475.6158758549172,0.5172276178142915,0.6129711369333678,511.49535699868704,488.5046430013134,0.2091917591125198,0.47435098761403266,0.540402996133523,0.31091750708257165,1.0000000000000018,0.4743509876140327,blobs,2,5,13
gmm,2,2,13,29.265822000525077,0.510649319361725,431.5036553372978,1.0238556572895687,0.5634126781172112,535.7698134272384,464.2301865727619,0.3731155778894472,0.5897275217561572,0.6182551109690742,0.418165660079052,1.0000000000000007,0.5897275217561572,blobs,2,5,13
adaptive,2,2,13,29.321960999368457,0.5787825172771479,475.6158758549172,0.5172276178142915,0.6129711369333678,511.49535699868704,488.5046430013134,0.2091917591125198,0.47435098761403266,0.540402996133523,0.31091750708257165,1.0000000000000018,0.4743509876140327,blobs,2,5,13
kmeans,3,3,42,19.739053001103457,0.7072907134227534,1715.3893633982004,0.45076206934908797,0.8886950775490883,126.53462289240676,873.4653771075934,0.6134779240898528,0.7918756684685222,0.7436885273407975,0.6554587535412861,1.0000000000000004,0.7918756684685222,blobs,3,5,42
isodata,3,4,42,2.5924019992089598,0.7353461757659788,3044.5220657753894,0.3351214167051285,0.7178471346588922,51.508031601436414,948.4919683985639,0.7812362998684788,0.9057460992755196,0.8439373293244814,0.8277293767706432,1.0000000000000004,0.9057460992755196,blobs,3,5,42
minibatch_kmeans,3,3,42,13.793305999570293,0.7072907134227534,1715.3893633982004,0.45076206934908797,0.8886950775490883,126.53462289240676,873.4653771075934,0.6134779240898528,0.7918756684685222,0.7436885273407975,0.6554587535412861,1.0000000000000004,0.7918756684685222,blobs,3,5,42
bisecting_kmeans,3,3,42,2.620024999487214,0.615832686417644,927.9916922457077,0.43748947582106323,0.6708570607432776,211.22121102755852,788.7787889724417,0.48074921956295524,0.7424834172925048,0.6723502022908507,0.5904362833084089,1.0000000000000002,0.7424834172925049,blobs,3,5,42
gmm,3,3,42,90.65519400064659,0.7072907134227534,1715.3893633982004,0.45076206934908797,0.8886950775490883,126.53462289240676,873.4653771075934,0.6134779240898528,0.7918756684685222,0.7436885273407975,0.6554587535412861,1.0000000000000004,0.7918756684685222,blobs,3,5,42
adaptive,3,3,42,16.678038000463857,0.7072907134227534,1715.3893633982004,0.45076206934908797,0.8886950775490883,126.53462289240676,873.4653771075934,0.6134779240898528,0.7918756684685222,0.7436885273407975,0.6554587535412861,1.0000000000000004,0.7918756684685222,blobs,3,5,42
kmeans,3,3,7,6.648165999649791,0.7072907134227534,1715.3893633982004,0.45076206934908797,0.8886950775490883,126.53462289240676,873.4653771075934,0.6134779240898528,0.7918756684685222,0.7436885273407975,0.6554587535412861,1.0000000000000004,0.7918756684685222,blobs,3,5,7
isodata,3,3,7,2.856204000636353,0.7072907134227534,1715.3893633982004,0.45076206934908797,0.8886950775490883,126.53462289240676,873.4653771075934,0.6134779240898528,0.7918756684685222,0.7436885273407975,0.6554587535412861,1.0000000000000004,0.7918756684685222,blobs,3,5,7
minibatch_kmeans,3,3,7,6.452100000387873,0.7072907134227534,1715.3893633982004,0.45076206934908797,0.8886950775490883,126.53462289240676,873.4653771075934,0.6134779240898528,0.7918756684685222,0.7436885273407975,0.6554587535412861,1.0000000000000004,0.7918756684685222,blobs,3,5,7
bisecting_kmeans,3,3,7,5.210868999711238,0.7072907134227534,1715.3893633982004,0.45076206934908797,0.8886950775490883,126.53462289240676,873.4653771075934,0.6134779240898528,0.7918756684685222,0.7436885273407975,0.6554587535412861,1.0000000000000004,0.7918756684685222,blobs,3,5,7
gmm,3,3,7,67.18808699952206,0.7072907134227534,1715.3893633982004,0.45076206934908797,0.8886950775490883,126.53462289240676,873.4653771075934,0.6134779240898528,0.7918756684685222,0.7436885273407975,0.6554587535412861,1.0000000000000004,0.7918756684685222,blobs,3,5,7
adaptive,3,3,7,14.296931998615037,0.7072907134227534,1715.3893633982004,0.45076206934908797,0.8886950775490883,126.53462289240676,873.4653771075934,0.6134779240898528,0.7918756684685222,0.7436885273407975,0.6554587535412861,1.0000000000000004,0.7918756684685222,blobs,3,5,7
kmeans,3,3,13,6.491768999694614,0.7072907134227534,1715.3893633982002,0.45076206934908797,0.8886950775490883,126.53462289240677,873.4653771075934,0.6134779240898528,0.7918756684685222,0.7436885273407975,0.6554587535412861,1.0000000000000004,0.7918756684685222,blobs,3,5,13
isodata,3,3,13,2.8018969987897435,0.7072907134227534,1715.3893633982004,0.45076206934908797,0.8886950775490883,126.53462289240676,873.4653771075934,0.6134779240898528,0.7918756684685222,0.7436885273407975,0.6554587535412861,1.0000000000000004,0.7918756684685222,blobs,3,5,13
minibatch_kmeans,3,3,13,6.517158000860945,0.7072907134227534,1715.3893633982004,0.45076206934908797,0.8886950775490883,126.53462289240676,873.4653771075934,0.6134779240898528,0.7918756684685222,0.7436885273407975,0.6554587535412861,1.0000000000000004,0.7918756684685222,blobs,3,5,13
bisecting_kmeans,3,3,13,2.858399999240646,0.7072907134227534,1715.3893633982004,0.45076206934908797,0.8886950775490883,126.53462289240676,873.4653771075934,0.6134779240898528,0.7918756684685222,0.7436885273407975,0.6554587535412861,1.0000000000000004,0.7918756684685222,blobs,3,5,13
gmm,3,3,13,21.975532999931602,0.7072907134227534,1715.3893633982002,0.45076206934908797,0.8886950775490883,126.53462289240677,873.4653771075934,0.6134779240898528,0.7918756684685222,0.7436885273407975,0.6554587535412861,1.0000000000000004,0.7918756684685222,blobs,3,5,13
adaptive,3,3,13,12.752267000905704,0.7072907134227534,1715.3893633982002,0.45076206934908797,0.8886950775490883,126.53462289240677,873.4653771075934,0.6134779240898528,0.7918756684685222,0.7436885273407975,0.6554587535412861,1.0000000000000004,0.7918756684685222,blobs,3,5,13
kmeans,4,4,42,7.4076460005017,0.7353461757659788,3044.522065775389,0.3351214167051285,0.7178471346588922,51.508031601436414,948.4919683985638,0.7812362998684788,0.9057460992755196,0.8439373293244814,0.8277293767706432,1.0000000000000004,0.9057460992755196,blobs,4,5,42
isodata,4,4,42,2.387657001236221,0.7353461757659788,3044.5220657753894,0.3351214167051285,0.7178471346588922,51.508031601436414,948.4919683985639,0.7812362998684788,0.9057460992755196,0.8439373293244814,0.8277293767706432,1.0000000000000004,0.9057460992755196,blobs,4,5,42
minibatch_kmeans,4,4,42,17.539149999720394,0.7353461757659788,3044.52206577539,0.3351214167051285,0.7178471346588922,51.50803160143641,948.4919683985638,0.7812362998684788,0.9057460992755196,0.8439373293244814,0.8277293767706432,1.0000000000000004,0.9057460992755196,blobs,4,5,42
bisecting_kmeans,4,4,42,3.692865999255446,0.7353461757659788,3044.522065775389,0.33512141670512857,0.7178471346588922,51.508031601436414,948.4919683985638,0.7812362998684788,0.9057460992755196,0.8439373293244814,0.8277293767706432,1.0000000000000004,0.9057460992755196,blobs,4,5,42
gmm,4,4,42,127.07473199952801,0.7353461757659788,3044.522065775389,0.3351214167051285,0.7178471346588922,51.508031601436414,948.4919683985638,0.7812362998684788,0.9057460992755196,0.8439373293244814,0.8277293767706432,1.0000000000000004,0.9057460992755196,blobs,4,5,42
adaptive,4,4,42,12.854329999754555,0.7353461757659788,3044.522065775389,0.3351214167051285,0.7178471346588922,51.508031601436414,948.4919683985638,0.7812362998684788,0.9057460992755196,0.8439373293244814,0.8277293767706432,1.0000000000000004,0.9057460992755196,blobs,4,5,42
kmeans,4,4,7,11.058587000661646,0.7353461757659788,3044.52206577539,0.3351214167051285,0.7178471346588922,51.50803160143641,948.4919683985638,0.7812362998684788,0.9057460992755196,0.8439373293244814,0.8277293767706432,1.0000000000000004,0.9057460992755196,blobs,4,5,7
isodata,4,3,7,2.834609000274213,0.7072907134227534,1715.3893633982004,0.45076206934908797,0.8886950775490883,126.53462289240676,873.4653771075934,0.6134779240898528,0.7918756684685222,0.7436885273407975,0.6554587535412861,1.0000000000000004,0.7918756684685222,blobs,4,5,7
minibatch_kmeans,4,4,7,8.689794000019901,0.7353461757659788,3044.52206577539,0.3351214167051285,0.7178471346588922,51.50803160143641,948.4919683985638,0.7812362998684788,0.9057460992755196,0.8439373293244814,0.8277293767706432,1.0000000000000004,0.9057460992755196,blobs,4,5,7
bisecting_kmeans,4,4,7,4.265575000317767,0.7353461757659788,3044.52206577539,0.3351214167051285,0.7178471346588922,51.50803160143641,948.4919683985638,0.7812362998684788,0.9057460992755196,0.8439373293244814,0.8277293767706432,1.0000000000000004,0.9057460992755196,blobs,4,5,7
gmm,4,4,7,51.2268229995243,0.7353461757659788,3044.52206577539,0.3351214167051285,0.7178471346588922,51.50803160143641,948.4919683985638,0.7812362998684788,0.9057460992755196,0.8439373293244814,0.8277293767706432,1.0000000000000004,0.9057460992755196,blobs,4,5,7
adaptive,4,4,7,13.832001999617205,0.7353461757659788,3044.52206577539,0.3351214167051285,0.7178471346588922,51.50803160143641,948.4919683985638,0.7812362998684788,0.9057460992755196,0.8439373293244814,0.8277293767706432,1.0000000000000004,0.9057460992755196,blobs,4,5,7
kmeans,4,4,13,7.957705998705933,0.7353461757659788,3044.5220657753894,0.3351214167051285,0.7178471346588922,51.508031601436414,948.4919683985639,0.7812362998684788,0.9057460992755196,0.8439373293244814,0.8277293767706432,1.0000000000000004,0.9057460992755196,blobs,4,5,13
isodata,4,3,13,2.810538999256096,0.7072907134227534,1715.3893633982004,0.45076206934908797,0.8886950775490883,126.53462289240676,873.4653771075934,0.6134779240898528,0.7918756684685222,0.7436885273407975,0.6554587535412861,1.0000000000000004,0.7918756684685222,blobs,4,5,13
minibatch_kmeans,4,4,13,8.414707999691018,0.7353461757659788,3044.5220657753894,0.3351214167051285,0.7178471346588922,51.508031601436414,948.4919683985639,0.7812362998684788,0.9057460992755196,0.8439373293244814,0.8277293767706432,1.0000000000000004,0.9057460992755196,blobs,4,5,13
bisecting_kmeans,4,4,13,8.114682999803335,0.7353461757659788,3044.52206577539,0.3351214167051285,0.7178471346588922,51.50803160143641,948.4919683985638,0.7812362998684788,0.9057460992755196,0.8439373293244814,0.8277293767706432,1.0000000000000004,0.9057460992755196,blobs,4,5,13
gmm,4,4,13,112.83845700017991,0.7353461757659788,3044.5220657753894,0.3351214167051285,0.7178471346588922,51.508031601436414,948.4919683985639,0.7812362998684788,0.9057460992755196,0.8439373293244814,0.8277293767706432,1.0000000000000004,0.9057460992755196,blobs,4,5,13
adaptive,4,4,13,16.319733000273118,0.7353461757659788,3044.5220657753894,0.3351214167051285,0.7178471346588922,51.508031601436414,948.4919683985639,0.7812362998684788,0.9057460992755196,0.8439373293244814,0.8277293767706432,1.0000000000000004,0.9057460992755196,blobs,4,5,13
kmeans,5,5,42,12.00799999969604,0.681110507591103,3908.1214531753913,0.44589785464865556,0.5131140784415389,30.692942827464876,969.3070571725352,0.9476057964977401,0.9471199966849918,0.9580008486631904,0.9471141117994964,0.9471258816436188,0.9471199966849917,blobs,5,5,42
isodata,5,4,42,10.312200998669141,0.7353461757659788,3044.5220657753894,0.3351214167051285,0.7178471346588922,51.508031601436414,948.4919683985639,0.7812362998684788,0.9057460992755196,0.8439373293244814,0.8277293767706432,1.0000000000000004,0.9057460992755196,blobs,5,5,42
minibatch_kmeans,5,5,42,9.739473998706671,0.681110507591103,3908.1214531753917,0.44589785464865556,0.5131140784415389,30.692942827464876,969.3070571725353,0.9476057964977401,0.9471199966849918,0.9580008486631904,0.9471141117994964,0.9471258816436188,0.9471199966849917,blobs,5,5,42
bisecting_kmeans,5,5,42,12.688142998740659,0.681110507591103,3908.1214531753913,0.44589785464865556,0.5131140784415389,30.692942827464876,969.3070571725352,0.9476057964977401,0.9471199966849918,0.9580008486631904,0.9471141117994964,0.9471258816436188,0.9471199966849917,blobs,5,5,42
gmm,5,5,42,40.73469899958582,0.680005361002672,3896.343294065671,0.4466427891625594,0.5098115142066387,30.782867696795915,969.2171323032043,0.9387422700601216,0.9406300299697005,0.9508978322702113,0.9405774219100033,0.9406826439146394,0.9406300299697004,blobs,5,5,42
adaptive,5,5,42,14.086295999732101,0.681110507591103,3908.1214531753913,0.44589785464865556,0.5131140784415389,30.692942827464876,969.3070571725352,0.9476057964977401,0.9471199966849918,0.9580008486631904,0.9471141117994964,0.9471258816436188,0.9471199966849917,blobs,5,5,42
kmeans,5,5,7,9.22514200101432,0.681110507591103,3908.1214531753913,0.44589785464865556,0.5131140784415389,30.692942827464876,969.3070571725352,0.9476057964977401,0.9471199966849918,0.9580008486631904,0.9471141117994964,0.9471258816436188,0.9471199966849917,blobs,5,5,7
isodata,5,3,7,6.837617000201135,0.7072907134227534,1715.3893633982004,0.45076206934908797,0.8886950775490883,126.53462289240676,873.4653771075934,0.6134779240898528,0.7918756684685222,0.7436885273407975,0.6554587535412861,1.0000000000000004,0.7918756684685222,blobs,5,5,7
minibatch_kmeans,5,5,7,15.714046001448878,0.681110507591103,3908.1214531753913,0.44589785464865556,0.5131140784415389,30.692942827464876,969.3070571725352,0.9476057964977401,0.9471199966849918,0.9580008486631904,0.9471141117994964,0.9471258816436188,0.9471199966849917,blobs,5,5,7
bisecting_kmeans,5,5,7,5.08942599844886,0.681110507591103,3908.1214531753913,0.44589785464865556,0.5131140784415389,30.692942827464876,969.3070571725352,0.9476057964977401,0.9471199966849918,0.9580008486631904,0.9471141117994964,0.9471258816436188,0.9471199966849917,blobs,5,5,7
gmm,5,5,7,86.79861900054675,0.680005361002672,3896.3432940656717,0.4466427891625594,0.5098115142066387,30.782867696795915,969.2171323032044,0.9387422700601216,0.9406300299697005,0.9508978322702113,0.9405774219100033,0.9406826439146394,0.9406300299697004,blobs,5,5,7
adaptive,5,5,7,13.684178000403335,0.681110507591103,3908.1214531753913,0.44589785464865556,0.5131140784415389,30.692942827464876,969.3070571725352,0.9476057964977401,0.9471199966849918,0.9580008486631904,0.9471141117994964,0.9471258816436188,0.9471199966849917,blobs,5,5,7
kmeans,5,5,13,9.558110999932978,0.681110507591103,3908.1214531753913,0.44589785464865556,0.5131140784415389,30.692942827464876,969.3070571725352,0.9476057964977401,0.9471199966849918,0.9580008486631904,0.9471141117994964,0.9471258816436188,0.9471199966849917,blobs,5,5,13
isodata,5,3,13,4.3212559994572075,0.7072907134227534,1715.3893633982004,0.45076206934908797,0.8886950775490883,126.53462289240676,873.4653771075934,0.6134779240898528,0.7918756684685222,0.7436885273407975,0.6554587535412861,1.0000000000000004,0.7918756684685222,blobs,5,5,13
minibatch_kmeans,5,5,13,24.630564001199673,0.681110507591103,3908.1214531753917,0.44589785464865556,0.5131140784415389,30.692942827464876,969.3070571725353,0.9476057964977401,0.9471199966849918,0.9580008486631904,0.9471141117994964,0.9471258816436188,0.9471199966849917,blobs,5,5,13
bisecting_kmeans,5,5,13,5.603515000984771,0.681110507591103,3908.1214531753917,0.44589785464865567,0.5131140784415389,30.692942827464872,969.3070571725352,0.9476057964977401,0.9471199966849918,0.9580008486631904,0.9471141117994964,0.9471258816436188,0.9471199966849917,blobs,5,5,13
gmm,5,5,13,74.15179100098612,0.680005361002672,3896.343294065671,0.4466427891625594,0.5098115142066387,30.782867696795915,969.2171323032043,0.9387422700601216,0.9406300299697005,0.9508978322702113,0.9405774219100033,0.9406826439146394,0.9406300299697004,blobs,5,5,13
adaptive,5,5,13,16.514048000317416,0.681110507591103,3908.1214531753913,0.44589785464865556,0.5131140784415389,30.692942827464876,969.3070571725352,0.9476057964977401,0.9471199966849918,0.9580008486631904,0.9471141117994964,0.9471258816436188,0.9471199966849917,blobs,5,5,13
