dataset,noise_mode,noise_rate,actual_flip_rate,strategy,seed,fit_time_ms,train_accuracy,val_accuracy,test_accuracy,train_f1,val_f1,test_f1,tree_depth,n_leaves,n_nodes,interpretability_score,overfitting_gap
iris,symmetric,0.0,0.0,none,42,2.1727439998358022,1.0,0.9333333333333333,1.0,1.0,0.9333333333333332,1.0,6,7,13,0.125,0.0
iris,symmetric,0.0,0.0,pre_depth,42,1.123344999996334,0.9777777777777777,0.9333333333333333,1.0,0.9777530589543938,0.9333333333333332,1.0,3,4,7,0.2,-0.022222222222222254
iris,symmetric,0.0,0.0,pre_samples,42,0.6426820000342559,0.9777777777777777,0.9333333333333333,1.0,0.9777530589543938,0.9333333333333332,1.0,3,4,7,0.2,-0.022222222222222254
iris,symmetric,0.0,0.0,ccp,42,1.1411929999667336,1.0,0.9333333333333333,1.0,1.0,0.9333333333333332,1.0,6,7,13,0.125,0.0
iris,symmetric,0.0,0.0,combined,42,0.6450129999393539,0.9777777777777777,0.9333333333333333,1.0,0.9777530589543938,0.9333333333333332,1.0,3,4,7,0.2,-0.022222222222222254
iris,symmetric,0.0,0.0,none,7,1.12501900002826,1.0,0.9,0.9666666666666667,1.0,0.899749373433584,0.9665831244778612,3,4,7,0.2,0.033333333333333326
iris,symmetric,0.0,0.0,pre_depth,7,0.6511649999083602,1.0,0.9,0.9666666666666667,1.0,0.899749373433584,0.9665831244778612,3,4,7,0.2,0.033333333333333326
iris,symmetric,0.0,0.0,pre_samples,7,0.6460839999817836,1.0,0.9,0.9666666666666667,1.0,0.899749373433584,0.9665831244778612,3,4,7,0.2,0.033333333333333326
iris,symmetric,0.0,0.0,ccp,7,0.6582850000995677,1.0,0.9,0.9666666666666667,1.0,0.899749373433584,0.9665831244778612,3,4,7,0.2,0.033333333333333326
iris,symmetric,0.0,0.0,combined,7,0.6757569999535917,1.0,0.9,0.9666666666666667,1.0,0.899749373433584,0.9665831244778612,3,4,7,0.2,0.033333333333333326
iris,symmetric,0.1,0.1,none,42,0.7667229997423419,0.9888888888888889,0.7666666666666667,0.6666666666666666,0.988419686532894,0.7657428595643698,0.6585303839308416,8,17,33,0.05555555555555555,0.3222222222222223
iris,symmetric,0.1,0.1,pre_depth,42,0.6242439999368798,0.9222222222222223,0.8666666666666667,0.7333333333333333,0.921395637935673,0.869023569023569,0.7331296154825567,2,4,7,0.2,0.188888888888889
iris,symmetric,0.1,0.1,pre_samples,42,0.6323039997369051,0.9111111111111111,0.8666666666666667,0.7333333333333333,0.9102011494252874,0.869023569023569,0.7331296154825567,3,7,13,0.125,0.1777777777777778
iris,symmetric,0.1,0.1,ccp,42,0.7249410000440548,0.9444444444444444,0.8,0.6333333333333333,0.9436063218390803,0.8013366750208855,0.6204655248133509,3,6,11,0.14285714285714285,0.3111111111111111
iris,symmetric,0.1,0.1,combined,42,0.7742709999547515,0.9444444444444444,0.8333333333333334,0.7,0.9436063218390803,0.8341307814992026,0.6961636828644502,3,6,11,0.14285714285714285,0.24444444444444446
iris,symmetric,0.1,0.1,none,7,0.6976700001359859,1.0,0.7333333333333333,0.6,1.0,0.738218094255246,0.6019426289034132,7,20,39,0.047619047619047616,0.4
iris,symmetric,0.1,0.1,pre_depth,7,0.7287669996003387,0.9555555555555556,0.8,0.8,0.9557789256518839,0.8016835016835017,0.7995822890559733,4,12,23,0.07692307692307693,0.15555555555555556
iris,symmetric,0.1,0.1,pre_samples,7,0.6602160001420998,0.8888888888888888,0.8,0.9,0.889367816091954,0.8038277511961723,0.8995215311004784,4,8,15,0.1111111111111111,-0.011111111111111183
iris,symmetric,0.1,0.1,ccp,7,0.7326869999815244,0.9222222222222223,0.8,0.8666666666666667,0.9212301587301588,0.8016835016835017,0.8664160401002506,4,6,11,0.14285714285714285,0.05555555555555558
iris,symmetric,0.1,0.1,combined,7,1.239079000242782,0.9,0.8,0.8666666666666667,0.8995427017673959,0.8016835016835017,0.8664160401002506,3,4,7,0.2,0.033333333333333326
iris,asymmetric,0.0,0.0,none,42,0.7050509998407506,1.0,0.9333333333333333,1.0,1.0,0.9333333333333332,1.0,6,7,13,0.125,0.0
iris,asymmetric,0.0,0.0,pre_depth,42,0.6525640001200372,0.9777777777777777,0.9333333333333333,1.0,0.9777530589543938,0.9333333333333332,1.0,3,4,7,0.2,-0.022222222222222254
iris,asymmetric,0.0,0.0,pre_samples,42,0.6475840000348398,0.9777777777777777,0.9333333333333333,1.0,0.9777530589543938,0.9333333333333332,1.0,3,4,7,0.2,-0.022222222222222254
iris,asymmetric,0.0,0.0,ccp,42,0.6601830000363407,1.0,0.9333333333333333,1.0,1.0,0.9333333333333332,1.0,6,7,13,0.125,0.0
iris,asymmetric,0.0,0.0,combined,42,0.6388840001818608,0.9777777777777777,0.9333333333333333,1.0,0.9777530589543938,0.9333333333333332,1.0,3,4,7,0.2,-0.022222222222222254
iris,asymmetric,0.0,0.0,none,7,0.6770620002498617,1.0,0.9,0.9666666666666667,1.0,0.899749373433584,0.9665831244778612,3,4,7,0.2,0.033333333333333326
iris,asymmetric,0.0,0.0,pre_depth,7,0.6205250001585227,1.0,0.9,0.9666666666666667,1.0,0.899749373433584,0.9665831244778612,3,4,7,0.2,0.033333333333333326
iris,asymmetric,0.0,0.0,pre_samples,7,0.6370819996845967,1.0,0.9,0.9666666666666667,1.0,0.899749373433584,0.9665831244778612,3,4,7,0.2,0.033333333333333326
iris,asymmetric,0.0,0.0,ccp,7,0.6573320001734828,1.0,0.9,0.9666666666666667,1.0,0.899749373433584,0.9665831244778612,3,4,7,0.2,0.033333333333333326
iris,asymmetric,0.0,0.0,combined,7,0.6714200003443693,1.0,0.9,0.9666666666666667,1.0,0.899749373433584,0.9665831244778612,3,4,7,0.2,0.033333333333333326
iris,asymmetric,0.1,0.1,none,42,0.7599260002280062,1.0,0.8,0.8,1.0,0.796583850931677,0.7997493734335839,6,17,33,0.05555555555555555,0.19999999999999996
iris,asymmetric,0.1,0.1,pre_depth,42,0.6556050002473057,0.9,0.9,0.8,0.8994548984468339,0.8950004244121891,0.8038277511961723,2,4,7,0.2,0.09999999999999998
iris,asymmetric,0.1,0.1,pre_samples,42,0.6955809999453777,0.8888888888888888,0.8666666666666667,0.8,0.8888402557894084,0.8573153899240856,0.7997493734335839,5,9,17,0.1,0.0888888888888888
iris,asymmetric,0.1,0.1,ccp,42,0.7922469999357418,0.9444444444444444,0.8333333333333334,0.7666666666666667,0.9446664790318041,0.8257575757575758,0.762907268170426,4,8,15,0.1111111111111111,0.1777777777777777
iris,asymmetric,0.1,0.1,combined,42,0.6645799999205337,0.9111111111111111,0.8666666666666667,0.8,0.9103961010740672,0.8573153899240856,0.7997493734335839,3,6,11,0.14285714285714285,0.11111111111111105
iris,asymmetric,0.1,0.1,none,7,0.7124799999473908,1.0,0.7666666666666667,0.8,1.0,0.7666666666666666,0.8020460358056267,8,21,41,0.045454545454545456,0.19999999999999996
iris,asymmetric,0.1,0.1,pre_depth,7,0.9976520000236633,0.8555555555555555,0.8666666666666667,0.8666666666666667,0.8557370651204281,0.8677248677248676,0.8648287385129491,2,4,7,0.2,-0.011111111111111183
iris,asymmetric,0.1,0.1,pre_samples,7,0.6469220002145448,0.8555555555555555,0.8666666666666667,0.8666666666666667,0.8557370651204281,0.8677248677248676,0.8648287385129491,4,7,13,0.125,-0.011111111111111183
iris,asymmetric,0.1,0.1,ccp,7,0.7174699999268341,0.8777777777777778,0.8,0.8666666666666667,0.8778932021140878,0.7979949874686717,0.8648287385129491,3,4,7,0.2,0.011111111111111072
iris,asymmetric,0.1,0.1,combined,7,0.6832059998487239,0.8777777777777778,0.8,0.8666666666666667,0.8778932021140878,0.7979949874686717,0.8648287385129491,3,4,7,0.2,0.011111111111111072
