dataset,seed,subsample_size,method,test_accuracy,test_f1_macro,test_balanced_accuracy,test_auc,train_accuracy,overfitting_gap,fit_time_ms,predict_time_ms,n_estimators,div_disagreement,div_q_statistic,div_double_fault,div_kappa
breast_cancer,42,50,bagging,0.868421052631579,0.8637992831541219,0.8809523809523809,0.957010582010582,0.98,0.111578947368421,23.103079000065918,1.1441679998824839,10,0.14619883040935674,0.706884912083743,0.06900584795321635,0.4029751569249684
breast_cancer,42,50,random_forest,0.8947368421052632,0.8898550724637682,0.9017857142857143,0.9603174603174605,0.98,0.08526315789473682,10.263424999720883,0.9126559998549055,10,0.14074074074074072,0.7790916999394167,0.06296296296296297,0.39198348776802067
breast_cancer,42,50,adaboost,0.9035087719298246,0.8994144541589797,0.9136904761904762,0.9553571428571429,1.0,0.0964912280701754,15.706274999502057,1.8408070000077714,10,0.2553606237816764,0.461383672586925,0.0810916179337232,0.2561727978584789
breast_cancer,42,50,gradient_boosting,0.8333333333333334,0.8285714285714285,0.8482142857142857,0.9090608465608466,1.0,0.16666666666666663,6.705894000333501,0.23120799960452132,10,,,,
breast_cancer,42,50,hard_voting,0.9122807017543859,0.9074675324675325,0.9156746031746033,,1.0,0.08771929824561409,104.74512499968114,58.82215399924462,10,0.11578947368421051,0.8360101210461105,0.05789473684210526,0.4263214846791038
breast_cancer,42,50,soft_voting,0.8771929824561403,0.8724424552429668,0.8878968253968254,0.9616402116402116,1.0,0.1228070175438597,271.6097009997611,2.3981000003914232,10,0.11578947368421051,0.8360101210461105,0.05789473684210526,0.4263214846791038
breast_cancer,42,50,decision_tree,0.8333333333333334,0.8295427717006374,0.8531746031746033,0.8531746031746031,1.0,0.16666666666666663,1.1597149996305234,0.1345589998891228,10,,,,
breast_cancer,42,50,logistic_regression,0.9035087719298246,0.8977745169968208,0.9037698412698413,0.9732142857142858,1.0,0.0964912280701754,90.42922100070427,0.2305609996255953,10,,,,
breast_cancer,42,200,bagging,0.9122807017543859,0.9057539682539683,0.9057539682539683,0.9403108465608467,0.995,0.08271929824561408,31.67964599924744,1.3895519996367511,10,0.11559454191033133,0.8643548953292749,0.06764132553606236,0.47631389730901624
breast_cancer,42,200,random_forest,0.8947368421052632,0.8879790370127743,0.8918650793650793,0.9480820105820105,1.0,0.10526315789473684,22.869449000609166,1.2848879996454343,10,0.11559454191033142,0.882395922800129,0.07115009746588694,0.4898977949243701
breast_cancer,42,200,adaboost,0.9210526315789473,0.9155902920608803,0.9176587301587302,0.9833002645502646,1.0,0.07894736842105265,26.227100999676622,0.9239319997504936,10,0.341130604288499,0.12072609250063873,0.06627680311890838,0.08120802338136637
breast_cancer,42,200,gradient_boosting,0.8947368421052632,0.885733377881724,0.8819444444444444,0.9576719576719577,0.99,0.09526315789473683,18.57949900022504,0.3617120000853902,10,,,,
breast_cancer,42,200,hard_voting,0.9122807017543859,0.9025641025641026,0.8908730158730158,,0.975,0.06271929824561406,121.15870799971162,3.3860650000860915,10,0.12105263157894734,0.8133499721155296,0.04824561403508772,0.3747434402964762
breast_cancer,42,200,soft_voting,0.9210526315789473,0.912836632401665,0.9027777777777778,0.9857804232804233,0.99,0.06894736842105265,145.454102000258,2.707888999793795,10,0.12105263157894734,0.8133499721155296,0.04824561403508772,0.3747434402964762
breast_cancer,42,200,decision_tree,0.8771929824561403,0.8666889408620113,0.8630952380952381,0.863095238095238,1.0,0.1228070175438597,2.7632410001388052,0.17370500063407235,10,,,,
breast_cancer,42,200,logistic_regression,0.9122807017543859,0.9047778149014367,0.9007936507936507,0.9831349206349207,0.975,0.06271929824561406,102.42072600067331,0.22579500000574626,10,,,,
breast_cancer,7,50,bagging,0.9122807017543859,0.9082125603864735,0.9206349206349206,0.9766865079365079,1.0,0.08771929824561409,20.554848999381647,1.419209000232513,10,0.07816764132553605,0.8676974483645516,0.05653021442495124,0.5363550514389499
breast_cancer,7,50,random_forest,0.9210526315789473,0.9170641015277665,0.9275793650793651,0.9847883597883598,1.0,0.07894736842105265,15.42679800058977,1.1985190003542812,10,0.1196881091617934,0.7388041326776061,0.043664717348927885,0.35950032525830994
breast_cancer,7,50,adaboost,0.9298245614035088,0.9253193580085162,0.9295634920634921,0.9839616402116402,1.0,0.07017543859649122,16.24952700058202,1.2279920001674327,10,0.20487329434697857,0.48580097009330325,0.044054580896686166,0.2871836957689245
breast_cancer,7,50,gradient_boosting,0.9122807017543859,0.9082125603864735,0.9206349206349206,0.9305555555555556,1.0,0.08771929824561409,6.516397999803303,0.2247359998364118,10,,,,
breast_cancer,7,50,hard_voting,0.9298245614035088,0.9246031746031746,0.9246031746031746,,0.98,0.050175438596491206,55.64132400013477,2.4954649998107925,10,0.10877192982456138,0.5406691742592606,0.02807017543859649,0.25886743452305216
breast_cancer,7,50,soft_voting,0.9385964912280702,0.933693394266722,0.9315476190476191,0.9927248677248678,1.0,0.06140350877192979,57.73622300057468,1.9709920006789616,10,0.10877192982456138,0.5406691742592606,0.02807017543859649,0.25886743452305216
breast_cancer,7,50,decision_tree,0.9122807017543859,0.9082125603864735,0.9206349206349206,0.9206349206349206,1.0,0.08771929824561409,1.1680460002025939,0.14156399993225932,10,,,,
breast_cancer,7,50,logistic_regression,0.9210526315789473,0.9117571170551303,0.8978174603174603,0.9808201058201058,1.0,0.07894736842105265,61.861687000600796,0.22251900008996017,10,,,,
breast_cancer,7,200,bagging,0.956140350877193,0.9526381387619444,0.9503968253968254,0.982473544973545,1.0,0.04385964912280704,43.05571900022187,1.4324459998533712,10,0.05224171539961013,0.9404747568884555,0.030019493177387932,0.49949352812165476
breast_cancer,7,200,random_forest,0.9385964912280702,0.933693394266722,0.9315476190476191,0.9796626984126984,1.0,0.06140350877192979,19.338307999532844,1.2022070004604757,10,0.0922027290448343,0.8603503888099883,0.03547758284600391,0.39629131114595595
breast_cancer,7,200,adaboost,0.9473684210526315,0.9415384615384615,0.9285714285714286,0.9953703703703703,1.0,0.052631578947368474,15.744072999950731,0.885365000613092,10,0.29005847953216374,0.1787335266346647,0.046198830409356725,0.08424845495730987
breast_cancer,7,200,gradient_boosting,0.9385964912280702,0.9329805996472662,0.9265873015873016,0.9442791005291006,0.99,0.051403508771929785,18.178925000029267,0.23508800040872302,10,,,,
breast_cancer,7,200,hard_voting,0.9473684210526315,0.9415384615384615,0.9285714285714286,,0.97,0.022631578947368447,113.18685800051753,3.2522270003028098,10,0.06842105263157894,0.9454049042609223,0.03771929824561403,0.48741526325460366
breast_cancer,7,200,soft_voting,0.9385964912280702,0.9322062696457395,0.9216269841269842,0.994378306878307,0.975,0.03640350877192977,117.06220799987932,3.169749000335287,10,0.06842105263157894,0.9454049042609223,0.03771929824561403,0.48741526325460366
breast_cancer,7,200,decision_tree,0.9385964912280702,0.9329805996472662,0.9265873015873016,0.9265873015873016,1.0,0.06140350877192979,3.451680999205564,0.13884199961466948,10,,,,
breast_cancer,7,200,logistic_regression,0.9473684210526315,0.9422297297297297,0.933531746031746,0.9976851851851852,0.97,0.022631578947368447,119.00525300006848,0.22288699983619153,10,,,,
breast_cancer,13,50,bagging,0.8859649122807017,0.8791880655416973,0.8849206349206349,0.9285714285714286,0.98,0.09403508771929825,21.843347999492835,1.5100269993126858,10,0.07972709551656923,0.9389140785175856,0.08908382066276802,0.6509682346164785
breast_cancer,13,50,random_forest,0.9122807017543859,0.9082125603864735,0.9206349206349206,0.9783399470899471,0.98,0.06771929824561407,16.136313999595586,1.1501419994601747,10,0.1419103313840156,0.6843620566757836,0.050097465886939564,0.31981454323935676
breast_cancer,13,50,adaboost,0.9210526315789473,0.9170641015277665,0.9275793650793651,0.9677579365079365,1.0,0.07894736842105265,16.731512000660587,0.9010879994093557,10,0.2826510721247563,0.3592748155480413,0.06393762183235865,0.1551320652740805
breast_cancer,13,50,gradient_boosting,0.9035087719298246,0.8986339018672702,0.9087301587301587,0.9203042328042328,1.0,0.0964912280701754,6.858000999272917,0.2378330000283313,10,,,,
breast_cancer,13,50,hard_voting,0.9385964912280702,0.9329805996472662,0.9265873015873016,,0.96,0.021403508771929758,100.76211900013732,2.5330720000056317,10,0.11228070175438595,0.7706119578638898,0.03508771929824561,0.3293051862631571
breast_cancer,13,50,soft_voting,0.9473684210526315,0.9434523809523809,0.9434523809523809,0.9837962962962963,0.96,0.012631578947368438,102.14042799998424,2.264914000079443,10,0.11228070175438595,0.7706119578638898,0.03508771929824561,0.3293051862631571
breast_cancer,13,50,decision_tree,0.8947368421052632,0.8898550724637682,0.9017857142857143,0.9017857142857143,1.0,0.10526315789473684,1.265326999600802,0.1354060004814528,10,,,,
breast_cancer,13,50,logistic_regression,0.956140350877193,0.9531057178116001,0.9553571428571428,0.9940476190476191,0.98,0.023859649122807025,121.80041000010533,0.2538859998821863,10,,,,
breast_cancer,13,200,bagging,0.9210526315789473,0.9163609684519443,0.9226190476190477,0.9775132275132276,0.99,0.06894736842105265,59.885947999646305,2.7565600003072177,10,0.10935672514619878,0.7895669895290215,0.03742690058479531,0.3431058275497223
breast_cancer,13,200,random_forest,0.9298245614035088,0.9246031746031746,0.9246031746031746,0.9768518518518519,0.995,0.06517543859649122,16.412568999840005,0.9139229996435461,10,0.10994152046783624,0.8139992298376768,0.039766081871345026,0.3596746618668691
breast_cancer,13,200,adaboost,0.956140350877193,0.9526381387619444,0.9503968253968254,0.9923941798941799,0.99,0.033859649122807034,20.443666000574012,1.58176800050569,10,0.3660818713450291,0.036374124413255306,0.05730994152046784,0.03778751232532926
breast_cancer,13,200,gradient_boosting,0.9122807017543859,0.9013157894736843,0.8859126984126984,0.9656084656084656,0.985,0.07271929824561407,18.32421100061765,0.26267599969287403,10,,,,
breast_cancer,13,200,hard_voting,0.9385964912280702,0.9329805996472662,0.9265873015873016,,0.975,0.03640350877192977,118.00981200030947,3.3265360007135314,10,0.07719298245614034,0.9247201068016313,0.03333333333333333,0.4171897746635807
breast_cancer,13,200,soft_voting,0.9385964912280702,0.933693394266722,0.9315476190476191,0.9900793650793651,0.97,0.03140350877192977,169.98505400079011,5.112204000397469,10,0.07719298245614034,0.9247201068016313,0.03333333333333333,0.4171897746635807
breast_cancer,13,200,decision_tree,0.9035087719298246,0.8946837994457042,0.8888888888888888,0.888888888888889,1.0,0.0964912280701754,12.088575999769091,0.191631000234338,10,,,,
breast_cancer,13,200,logistic_regression,0.9736842105263158,0.9715828832571666,0.9692460317460317,0.9957010582010583,0.955,-0.01868421052631586,236.80480799976067,0.25204299981851364,10,,,,
