dataset,seed,noise_rate,ensemble_type,method,test_accuracy,test_f1_macro,test_balanced_accuracy,test_auc,train_accuracy,overfitting_gap,fit_time_ms,predict_time_ms,n_estimators,div_disagreement,div_q_statistic,div_double_fault,div_kappa,amb_avg_individual_error,amb_ensemble_error,amb_ambiguity
breast_cancer,42,0.0,homogeneous,bagging,0.9298245614035088,0.9250876168224299,0.9250876168224299,0.9782418224299065,0.992462311557789,0.06263775015428019,86.02927399988403,1.1707559997375938,10,0.11526965562053279,0.8062973201649516,0.043534762833008445,0.3651231833148001,0.10116959064327484,0.07017543859649122,0.030994152046783616
breast_cancer,42,0.0,homogeneous,random_forest,0.9532163742690059,0.9497354497354498,0.946918808411215,0.9765625,0.9949748743718593,0.041758500102853424,16.667926000081934,1.0833489996002754,10,0.11630929174788825,0.8023026148629956,0.04067576348278101,0.35007570012845624,0.09883040935672513,0.04678362573099415,0.05204678362573098
breast_cancer,42,0.0,homogeneous,adaboost,0.9298245614035088,0.9235469448584203,0.915668808411215,0.9894129672897196,0.9849246231155779,0.05510006171206916,36.878854999486066,0.9717470002215123,10,0.41780376868096175,0.026900070385234464,0.07238466536712153,0.019717838624635116,0.2812865497076023,0.05263157894736842,0.2286549707602339
breast_cancer,42,0.0,heterogeneous,hard_voting,0.9473684210526315,0.942866688940862,0.9359667056074766,,0.9748743718592965,0.02750595080666496,157.7512089997981,4.758850999678543,10,0.08771929824561402,0.877147830465417,0.03684210526315789,0.40598827454368625,0.08070175438596491,0.05263157894736842,0.028070175438596495
breast_cancer,42,0.0,heterogeneous,soft_voting,0.935672514619883,0.9306543778801843,0.9266209112149533,0.9908002336448598,0.9773869346733668,0.0417144200534838,203.2359920003728,10.90393899994524,10,0.08771929824561402,0.877147830465417,0.03684210526315789,0.40598827454368625,0.08070175438596491,0.05263157894736842,0.028070175438596495
breast_cancer,7,0.0,homogeneous,bagging,0.9590643274853801,0.9566947650229731,0.9610105140186915,0.9875146028037383,0.992462311557789,0.033397984072408904,55.755851999492734,1.5077859998200438,10,0.07420402858999348,0.8743775549138626,0.026640675763482786,0.373587387218583,0.06374269005847953,0.04093567251461988,0.02280701754385965
breast_cancer,7,0.0,homogeneous,random_forest,0.9473684210526315,0.9446343130553656,0.9516647196261683,0.9875146028037383,0.9949748743718593,0.04760645331922775,17.74567400025262,1.3129199996910756,10,0.10617283950617283,0.7107634566489701,0.025860948667966222,0.2897220884560451,0.07894736842105263,0.05263157894736842,0.02631578947368421
breast_cancer,7,0.0,homogeneous,adaboost,0.9649122807017544,0.962543808411215,0.962543808411215,0.9926255841121495,0.9798994974874372,0.014987216785682822,26.020608999715478,1.3647420000779675,10,0.3014944769330734,0.1391149493319147,0.045743989603638714,0.0759324951072274,0.19649122807017544,0.029239766081871343,0.1672514619883041
breast_cancer,7,0.0,heterogeneous,hard_voting,0.9707602339181286,0.9682592716338122,0.9609375,,0.964824120603015,-0.005936113315113567,180.64131000028283,4.899249000118289,10,0.07134502923976609,0.8359687699044992,0.02046783625730994,0.3065388750037762,0.05614035087719298,0.029239766081871343,0.026900584795321633
breast_cancer,7,0.0,heterogeneous,soft_voting,0.9649122807017544,0.962044983722995,0.9562646028037383,0.9967873831775701,0.9723618090452262,0.00744952834347179,192.551819000073,4.312121999646479,10,0.07134502923976609,0.8359687699044992,0.02046783625730994,0.3065388750037762,0.05614035087719298,0.029239766081871343,0.026900584795321633
breast_cancer,13,0.0,homogeneous,bagging,0.935672514619883,0.9311115180369895,0.9297605140186915,0.9787529205607477,0.9949748743718593,0.059302359751976286,48.759072000393644,1.503394999417651,10,0.07979207277452892,0.9142816047880714,0.046653671215074716,0.48945933260434005,0.08654970760233918,0.06432748538011696,0.022222222222222227
breast_cancer,13,0.0,homogeneous,random_forest,0.9415204678362573,0.9371693121693121,0.9344334112149533,0.981892523364486,1.0,0.05847953216374269,23.581764000482508,1.5582890000587213,10,0.0881091617933723,0.8832522347001567,0.03898635477582845,0.4221176260425844,0.08304093567251461,0.05847953216374269,0.024561403508771923
breast_cancer,13,0.0,homogeneous,adaboost,0.9239766081871345,0.9174741062479117,0.9109959112149533,0.9798481308411215,0.9849246231155779,0.060948014928443484,21.131812999556132,0.9648140003264416,10,0.3628330084470436,0.1466573301905019,0.0677063027940221,0.06808521035589253,0.24912280701754383,0.07602339181286549,0.17309941520467834
breast_cancer,13,0.0,heterogeneous,hard_voting,0.9590643274853801,0.9552372760928911,0.9453125,,0.9623115577889447,0.0032472303035646632,152.27286600020307,5.031890999816824,10,0.08538011695906432,0.8758946101369617,0.03333333333333333,0.3959238061451919,0.07602339181286549,0.04093567251461988,0.03508771929824561
breast_cancer,13,0.0,heterogeneous,soft_voting,0.9590643274853801,0.9555629802873371,0.9484521028037383,0.9872955607476636,0.9748743718592965,0.01581004437391642,140.3932140001416,4.286024000066391,10,0.08538011695906432,0.8758946101369617,0.03333333333333333,0.3959238061451919,0.07602339181286549,0.04093567251461988,0.03508771929824561
breast_cancer,42,0.1,homogeneous,bagging,0.8362573099415205,0.829923273657289,0.8285007072135785,0.8647100424328147,0.992462311557789,0.1562050016162685,98.668374999761,1.6812119993119268,10,0.20662768031189088,0.7644911589690797,0.1212475633528265,0.40800847006756585,0.2245614035087719,0.16374269005847952,0.06081871345029238
breast_cancer,42,0.1,homogeneous,random_forest,0.8187134502923976,0.8121345288301378,0.8114568599717115,0.856011315417256,0.9899497487437185,0.17123629845132093,23.502389000896073,0.949014000070747,10,0.23183885640025986,0.7156708748094798,0.12852501624431445,0.37547093850526486,0.24444444444444446,0.18128654970760233,0.06315789473684214
breast_cancer,42,0.1,homogeneous,adaboost,0.8421052631578947,0.833902939166097,0.829066478076379,0.8517680339462518,0.8768844221105527,0.03477915895265804,21.397551000518433,0.9317479998571798,10,0.5125406107862247,-0.04069365301722922,0.16478232618583497,-0.018642719354712414,0.42105263157894735,0.25146198830409355,0.1695906432748538
breast_cancer,42,0.1,heterogeneous,hard_voting,0.847953216374269,0.8376898364485981,0.8296322489391796,,0.8919597989949749,0.04400658262070589,186.42454299970268,7.147649000216916,10,0.09941520467836257,0.9458447731061529,0.12456140350877194,0.6606642395567713,0.17426900584795318,0.15204678362573099,0.0222222222222222
breast_cancer,42,0.1,heterogeneous,soft_voting,0.8596491228070176,0.851088534107402,0.8439179632248939,0.8545968882602546,0.8994974874371859,0.03984836463016839,157.8197660001024,5.273741000564769,10,0.09941520467836257,0.9458447731061529,0.12456140350877194,0.6606642395567713,0.17426900584795318,0.15204678362573099,0.0222222222222222
breast_cancer,7,0.1,homogeneous,bagging,0.8187134502923976,0.8121345288301378,0.8145345516847515,0.8569388920616791,0.9949748743718593,0.17626142407946166,71.38200200006395,1.5028249999886611,10,0.2153346328784925,0.7626493024890885,0.13502274204028586,0.41474021798151495,0.24269005847953218,0.18128654970760233,0.06140350877192985
breast_cancer,7,0.1,homogeneous,random_forest,0.8070175438596491,0.8024505513740592,0.8098229583095373,0.8348800685322673,0.992462311557789,0.1854447676981399,24.298155999531446,0.9191930002998561,10,0.2356075373619233,0.7282629788513262,0.14710851202079273,0.39538358752148917,0.2649122807017543,0.19298245614035087,0.07192982456140345
breast_cancer,7,0.1,homogeneous,adaboost,0.8187134502923976,0.8137189443722107,0.819531696173615,0.8602227298686466,0.8793969849246231,0.06068353463222553,21.47160399999848,0.9352030001537059,10,0.5016244314489927,-0.045296540358241155,0.15386614684860297,-0.015179623707898863,0.40467836257309936,0.2807017543859649,0.12397660818713446
breast_cancer,7,0.1,heterogeneous,hard_voting,0.8596491228070176,0.851948051948052,0.8485151342090234,,0.8819095477386935,0.022260424931675904,180.76152100002219,5.907392000153777,10,0.13333333333333336,0.9113139538589596,0.1263157894736842,0.5938748658575477,0.19298245614035087,0.14035087719298245,0.05263157894736842
breast_cancer,7,0.1,heterogeneous,soft_voting,0.8538011695906432,0.8470209339774557,0.8461593375214164,0.8567961165048544,0.9045226130653267,0.050721443474683436,170.64682100044593,7.7021209999657,10,0.13333333333333336,0.9113139538589596,0.1263157894736842,0.5938748658575477,0.19298245614035087,0.14035087719298245,0.05263157894736842
breast_cancer,13,0.1,homogeneous,bagging,0.8713450292397661,0.8608316069843149,0.8584656084656085,0.908289241622575,0.9849246231155779,0.11357959387581185,71.75255199945241,1.5355140003521228,10,0.21754385964912276,0.6996530043914687,0.09707602339181289,0.3352039089425389,0.20584795321637425,0.1286549707602339,0.07719298245614034
breast_cancer,13,0.1,homogeneous,random_forest,0.8713450292397661,0.8617724867724867,0.8617724867724867,0.8954291593180481,0.9874371859296482,0.11609215668988215,28.6883039998429,1.5690649997850414,10,0.2445743989603638,0.622156445673945,0.09525666016894085,0.2839425108694539,0.21754385964912276,0.1286549707602339,0.08888888888888885
breast_cancer,13,0.1,homogeneous,adaboost,0.8596491228070176,0.845945945945946,0.8392857142857142,0.9078483245149912,0.871859296482412,0.012210173675394453,23.936329999742156,0.9469399992667604,10,0.486809616634178,-0.01754223448315363,0.14372969460688756,0.009464368989921078,0.38713450292397666,0.18128654970760233,0.20584795321637434
breast_cancer,13,0.1,heterogeneous,hard_voting,0.8771929824561403,0.8624401455659836,0.8498677248677249,,0.8793969849246231,0.0022040024684828463,145.40441599910991,5.941895999967528,10,0.14853801169590644,0.859522462704262,0.09298245614035086,0.4712870848906096,0.16725146198830407,0.12280701754385964,0.044444444444444425
breast_cancer,13,0.1,heterogeneous,soft_voting,0.8771929824561403,0.8624401455659836,0.8498677248677249,0.9056437389770724,0.8894472361809045,0.012254253724764186,198.33819800078345,8.577184999921883,10,0.14853801169590644,0.859522462704262,0.09298245614035086,0.4712870848906096,0.16725146198830407,0.12280701754385964,0.044444444444444425
